Trip_Year,Trip_Month,Trip_Day,gender,usertype,trip_count,avg_trip_length (min)
2020,4,1,1,Customer,1430,56.26474358974359
2020,4,1,1,Subscriber,11554,19.570425826553574
2020,4,1,2,Customer,836,59.20259170653908
2020,4,1,2,Subscriber,4677,19.681145321074766
2020,4,2,1,Customer,1325,74.29377358490567
2020,4,2,1,Subscriber,10751,17.61493039407187
2020,4,2,2,Customer,783,34.567794806300554
2020,4,2,2,Subscriber,4315,19.287771340285826
2020,4,3,1,Customer,779,27.0956568249893
2020,4,3,1,Subscriber,7071,15.420070239947202
2020,4,3,2,Customer,281,110.34329774614473
2020,4,3,2,Subscriber,2322,18.122164800459373
2020,4,4,1,Customer,2827,37.03155288291475
2020,4,4,1,Subscriber,14083,23.80882506094819
2020,4,4,2,Customer,1981,45.20986033989568
2020,4,4,2,Subscriber,6050,26.446752066115703
2020,4,5,1,Customer,2477,30.71719822365765
2020,4,5,1,Subscriber,12163,27.02733974622489
2020,4,5,2,Customer,1925,40.560632034632036
2020,4,5,2,Subscriber,5538,30.866681714216927
2020,4,6,1,Customer,2072,44.996066602316596
2020,4,6,1,Subscriber,12772,18.252031788286878
2020,4,6,2,Customer,1413,41.21236140599198
2020,4,6,2,Subscriber,5616,21.93985339506173
2020,4,7,1,Customer,1805,37.248328716528164
2020,4,7,1,Subscriber,12744,20.985950251098554
2020,4,7,2,Customer,1239,47.233992467043315
2020,4,7,2,Subscriber,5414,21.23547284817141
2020,4,8,1,Customer,1377,49.87660372791092
2020,4,8,1,Subscriber,11776,17.795237488677536
2020,4,8,2,Customer,903,60.80182724252492
2020,4,8,2,Subscriber,4762,19.587106257874844
2020,4,9,1,Customer,919,27.421218715995646
2020,4,9,1,Subscriber,8538,15.627168735847583
2020,4,9,2,Customer,426,50.82480438184664
2020,4,9,2,Subscriber,3206,22.594338739862756
2020,4,10,1,Customer,1200,41.09330555555555
2020,4,10,1,Subscriber,9559,17.872375074101196
2020,4,10,2,Customer,556,33.822272182254196
2020,4,10,2,Subscriber,3657,16.49748427672956
2020,4,11,1,Customer,3494,35.08293741652356
2020,4,11,1,Subscriber,15163,23.14059662775616
2020,4,11,2,Customer,2569,41.59165693525367
2020,4,11,2,Subscriber,7335,23.193446943876392
2020,4,12,1,Customer,3211,34.157168068099246
2020,4,12,1,Subscriber,14016,25.538861539193302
2020,4,12,2,Customer,2539,37.7774189313378
2020,4,12,2,Subscriber,6551,26.984445122882
2020,4,13,1,Customer,513,31.081448992852504
2020,4,13,1,Subscriber,4631,16.2843122435759
2020,4,13,2,Customer,191,50.98123909249564
2020,4,13,2,Subscriber,1529,16.222607368650536
2020,4,14,1,Customer,1865,30.685710455764074
2020,4,14,1,Subscriber,13554,18.147262800649255
2020,4,14,2,Customer,1151,50.2709527946713
2020,4,14,2,Subscriber,5716,19.952449265220434
2020,4,15,1,Customer,1525,41.06875409836065
2020,4,15,1,Subscriber,12316,16.702557648587206
2020,4,15,2,Customer,983,36.611681926076635
2020,4,15,2,Subscriber,5248,20.570052083333334
2020,4,16,1,Customer,1362,25.439672050905532
2020,4,16,1,Subscriber,11014,16.44647115792022
2020,4,16,2,Customer,865,44.761348747591526
2020,4,16,2,Subscriber,4726,18.565806178586545
2020,4,17,1,Customer,1240,37.19955645161291
2020,4,17,1,Subscriber,10863,20.262304765411645
2020,4,17,2,Customer,768,39.407855902777776
2020,4,17,2,Subscriber,4412,22.933677092777273
2020,4,18,1,Customer,1287,25.217210567210564
2020,4,18,1,Subscriber,8815,22.20232936282851
2020,4,18,2,Customer,711,42.963197374589775
2020,4,18,2,Subscriber,3578,19.571445872927146
2020,4,19,1,Customer,5392,46.4810799950544
2020,4,19,1,Subscriber,19186,23.18878870009382
2020,4,19,2,Customer,4758,42.974726775956285
2020,4,19,2,Subscriber,9607,24.879582596023734
2020,4,20,1,Customer,1454,55.291506189821185
2020,4,20,1,Subscriber,12159,18.97318036022699
2020,4,20,2,Customer,851,34.60346650998825
2020,4,20,2,Subscriber,5200,18.56938782051282
