Trip_Year,Trip_Month,Trip_Day,gender,usertype,trip_count,avg_trip_length (min)
2020,2,1,1,Customer,1694,46.98295946477765
2020,2,1,1,Subscriber,22829,10.973460656766978
2020,2,1,2,Customer,758,31.520822339489886
2020,2,1,2,Subscriber,7996,12.09838044022011
2020,2,2,1,Customer,1337,23.020344053851908
2020,2,2,1,Subscriber,18316,12.050942709470773
2020,2,2,2,Customer,556,28.77362110311751
2020,2,2,2,Subscriber,6476,12.223139283508338
2020,2,3,1,Customer,1531,30.41784236882212
2020,2,3,1,Subscriber,37046,11.781409148985945
2020,2,3,2,Customer,729,102.90493827160495
2020,2,3,2,Subscriber,11794,13.040900740489514
2020,2,4,1,Customer,1406,19.531116642958747
2020,2,4,1,Subscriber,37020,11.063859175220601
2020,2,4,2,Customer,506,33.40691699604743
2020,2,4,2,Subscriber,11404,12.65494563311119
2020,2,5,1,Customer,1205,20.702005532503456
2020,2,5,1,Subscriber,36446,10.473616674898022
2020,2,5,2,Customer,364,22.04473443223443
2020,2,5,2,Subscriber,10774,11.614358641173196
2020,2,6,1,Customer,672,18.71810515873016
2020,2,6,1,Subscriber,23663,10.761583484765247
2020,2,6,2,Customer,176,16.925568181818182
2020,2,6,2,Subscriber,6676,11.40711753545037
2020,2,7,1,Customer,903,28.161148025101514
2020,2,7,1,Subscriber,24097,11.432000525653262
2020,2,7,2,Customer,192,27.526475694444446
2020,2,7,2,Subscriber,6294,10.665461815485648
2020,2,8,1,Customer,1638,25.32091982091982
2020,2,8,1,Subscriber,21119,11.678626671086068
2020,2,8,2,Customer,647,32.43681092220505
2020,2,8,2,Subscriber,7181,12.116694517940862
2020,2,9,1,Customer,1598,40.5299436795995
2020,2,9,1,Subscriber,20574,11.114172418262532
2020,2,9,2,Customer,767,37.25441112559757
2020,2,9,2,Subscriber,7362,11.871303087929004
2020,2,10,1,Customer,549,21.557619914996963
2020,2,10,1,Subscriber,19570,10.579880769885879
2020,2,10,2,Customer,178,33.862172284644195
2020,2,10,2,Subscriber,5511,11.243500877033812
2020,2,11,1,Customer,798,17.71656223893066
2020,2,11,1,Subscriber,27466,11.048759678632978
2020,2,11,2,Customer,212,23.529638364779874
2020,2,11,2,Subscriber,7979,11.538175209926056
2020,2,12,1,Customer,1091,18.302474793767185
2020,2,12,1,Subscriber,35427,10.801346901139432
2020,2,12,2,Customer,390,22.851196581196582
2020,2,12,2,Subscriber,10553,11.896887141097318
2020,2,13,1,Customer,746,17.56423145665773
2020,2,13,1,Subscriber,27620,11.461035481535118
2020,2,13,2,Customer,201,16.305058043117743
2020,2,13,2,Subscriber,7707,12.246974611824749
2020,2,14,1,Customer,836,18.30103668261563
2020,2,14,1,Subscriber,27101,10.790141200201713
2020,2,14,2,Customer,278,28.41576738609113
2020,2,14,2,Subscriber,7425,11.144004489337823
2020,2,15,1,Customer,1019,24.077625122669286
2020,2,15,1,Subscriber,14282,11.51844512906689
2020,2,15,2,Customer,385,24.035584415584417
2020,2,15,2,Subscriber,4702,11.431015170849285
2020,2,16,1,Customer,1525,23.941639344262295
2020,2,16,1,Subscriber,17264,11.036763399752857
2020,2,16,2,Customer,745,27.94046979865772
2020,2,16,2,Subscriber,5683,12.305531116194498
2020,2,17,1,Customer,2227,23.02750336775932
2020,2,17,1,Subscriber,25694,12.744099141174333
2020,2,17,2,Customer,1171,31.46243951038998
2020,2,17,2,Subscriber,8732,12.537192701175751
2020,2,18,1,Customer,1015,18.323908045977014
2020,2,18,1,Subscriber,31941,10.735455996994459
2020,2,18,2,Customer,390,25.583247863247866
2020,2,18,2,Subscriber,9054,11.810153891466019
2020,2,19,1,Customer,1256,60.43515127388535
2020,2,19,1,Subscriber,35231,11.020231235748819
2020,2,19,2,Customer,501,28.221556886227543
2020,2,19,2,Subscriber,10193,12.338974459596454
2020,2,20,1,Customer,1050,32.64436507936508
2020,2,20,1,Subscriber,31004,10.728718874983874
2020,2,20,2,Customer,316,38.18317510548523
2020,2,20,2,Subscriber,8763,11.628907527863365
2020,2,21,1,Customer,1079,19.123478529502627
2020,2,21,1,Subscriber,27927,10.401935999809025
2020,2,21,2,Customer,306,20.962472766884535
2020,2,21,2,Subscriber,7701,11.55876509544215
