Trip_Year,Trip_Month,Trip_Day,gender,usertype,trip_count,avg_trip_length (min)
2020,3,1,1,Customer,1611,24.753538175046558
2020,3,1,1,Subscriber,20324,12.124127468346126
2020,3,1,2,Customer,798,36.81136173767753
2020,3,1,2,Subscriber,6915,12.26946493130875
2020,3,2,1,Customer,1931,30.067391679613326
2020,3,2,1,Subscriber,39349,12.525560158242056
2020,3,2,2,Customer,860,33.03562015503876
2020,3,2,2,Subscriber,12045,13.924282551542825
2020,3,3,1,Customer,1347,22.889940608760206
2020,3,3,1,Subscriber,35492,12.403591889252038
2020,3,3,2,Customer,517,68.38430045132172
2020,3,3,2,Subscriber,10478,13.008298339377744
2020,3,4,1,Customer,1852,21.6247030237581
2020,3,4,1,Subscriber,40757,12.491231363119628
2020,3,4,2,Customer,805,28.337867494824017
2020,3,4,2,Subscriber,12483,12.974597452535448
2020,3,5,1,Customer,1907,44.99563013459185
2020,3,5,1,Subscriber,40481,11.849658275898982
2020,3,5,2,Customer,740,26.63779279279279
2020,3,5,2,Subscriber,12572,13.328901527203309
2020,3,6,1,Customer,1003,20.95458624127617
2020,3,6,1,Subscriber,24311,11.397199484458337
2020,3,6,2,Customer,293,21.660693970420933
2020,3,6,2,Subscriber,7042,12.93584919057086
2020,3,7,1,Customer,2438,35.73044161881323
2020,3,7,1,Subscriber,23613,12.502353223506825
2020,3,7,2,Customer,1160,30.672614942528735
2020,3,7,2,Subscriber,8698,12.796240515060934
2020,3,8,1,Customer,3495,28.076518836433
2020,3,8,1,Subscriber,25760,13.418219461697722
2020,3,8,2,Customer,2466,34.98874695863746
2020,3,8,2,Subscriber,10095,14.849034175334323
2020,3,9,1,Customer,3602,28.977507866000373
2020,3,9,1,Subscriber,43036,16.314951436007064
2020,3,9,2,Customer,2204,57.07307168784029
2020,3,9,2,Subscriber,14811,17.61170638939527
2020,3,10,1,Customer,2717,24.902711323763956
2020,3,10,1,Subscriber,42306,13.473527789596432
2020,3,10,2,Customer,1344,31.461681547619047
2020,3,10,2,Subscriber,14349,14.872139754222129
2020,3,11,1,Customer,2774,30.00759432828647
2020,3,11,1,Subscriber,40505,13.360072007571082
2020,3,11,2,Customer,1322,25.287493696419567
2020,3,11,2,Subscriber,13823,15.052023198051558
2020,3,12,1,Customer,2093,33.86269310399745
2020,3,12,1,Subscriber,34149,13.070608216931682
2020,3,12,2,Customer,940,43.92008865248227
2020,3,12,2,Subscriber,11486,18.118866446108306
2020,3,13,1,Customer,2464,53.12823998917749
2020,3,13,1,Subscriber,26770,14.870682355870999
2020,3,13,2,Customer,1307,32.62484060188727
2020,3,13,2,Subscriber,9369,15.543407336250757
2020,3,14,1,Customer,3577,30.156131767775605
2020,3,14,1,Subscriber,22580,15.134113522291113
2020,3,14,2,Customer,2715,31.536120319214245
2020,3,14,2,Subscriber,9588,17.377944653038522
2020,3,15,1,Customer,2714,31.216900024563987
2020,3,15,1,Subscriber,19234,16.371578108211153
2020,3,15,2,Customer,1993,35.26329653788259
2020,3,15,2,Subscriber,7806,17.56568878640362
2020,3,16,1,Customer,1431,48.41229909154438
2020,3,16,1,Subscriber,19001,14.513291405715488
2020,3,16,2,Customer,680,44.58071078431372
2020,3,16,2,Subscriber,6484,16.268735862636234
2020,3,17,1,Customer,1340,28.38286069651741
2020,3,17,1,Subscriber,15316,16.890668799512493
2020,3,17,2,Customer,723,41.635892116182575
2020,3,17,2,Subscriber,5168,22.839257610939114
2020,3,18,1,Customer,1731,28.97360870402465
2020,3,18,1,Subscriber,17985,17.445174682605874
2020,3,18,2,Customer,1196,38.497630992196214
2020,3,18,2,Subscriber,6961,18.2598165972322
2020,3,19,1,Customer,1220,29.740642076502734
2020,3,19,1,Subscriber,12881,19.410031571047796
2020,3,19,2,Customer,651,29.96827956989247
2020,3,19,2,Subscriber,4388,20.144788817988452
2020,3,20,1,Customer,2109,36.140722301248616
2020,3,20,1,Subscriber,17844,16.886565979227377
2020,3,20,2,Customer,1482,52.777395411605944
2020,3,20,2,Subscriber,6627,19.88910266083195
2020,3,21,1,Customer,2900,32.47064367816092
2020,3,21,1,Subscriber,15362,20.292440220457408
2020,3,21,2,Customer,2284,36.0440747227087
2020,3,21,2,Subscriber,6798,25.161451897616946
2020,3,22,1,Customer,1512,32.19044312169312
2020,3,22,1,Subscriber,10648,18.532506887052342
2020,3,22,2,Customer,1153,50.36853136744723
2020,3,22,2,Subscriber,4379,18.94175610870062
2020,3,23,1,Customer,150,26.104666666666667
2020,3,23,1,Subscriber,2836,13.92425952045134
2020,3,23,2,Customer,64,62.81067708333333
2020,3,23,2,Subscriber,735,21.325510204081635
2020,3,24,1,Customer,1293,32.932031451405
2020,3,24,1,Subscriber,12133,18.332937718069175
2020,3,24,2,Customer,915,41.018524590163935
2020,3,24,2,Subscriber,4421,21.168676015984317
2020,3,25,1,Customer,609,31.910180623973726
2020,3,25,1,Subscriber,7741,14.675313267019765
2020,3,25,2,Customer,313,45.29781682641108
2020,3,25,2,Subscriber,2531,23.309785328592124
2020,3,26,1,Customer,1420,35.01474178403756
