Trip_Year,Trip_Month,Trip_Day,gender,usertype,trip_count,avg_trip_length (min)
2019,2,1,1,Customer,314,20.0
2019,2,1,1,Subscriber,19378,12.0
2019,2,1,2,Customer,32,33.0
2019,2,1,2,Subscriber,4680,20.0
2019,2,2,1,Customer,528,30.0
2019,2,2,1,Subscriber,15658,11.0
2019,2,2,2,Customer,113,20.0
2019,2,2,2,Subscriber,4810,12.0
2019,2,3,1,Customer,1026,25.0
2019,2,3,1,Subscriber,21222,13.0
2019,2,3,2,Customer,445,66.0
2019,2,3,2,Subscriber,7309,13.0
2019,2,4,1,Customer,836,31.0
2019,2,4,1,Subscriber,33396,12.0
2019,2,4,2,Customer,396,38.0
2019,2,4,2,Subscriber,9865,16.0
2019,2,5,1,Customer,1116,91.0
2019,2,5,1,Subscriber,38376,12.0
2019,2,5,2,Customer,542,39.0
2019,2,5,2,Subscriber,11714,16.0
2019,2,6,1,Customer,639,25.0
2019,2,6,1,Subscriber,28790,11.0
2019,2,6,2,Customer,229,30.0
2019,2,6,2,Subscriber,8256,14.0
2019,2,7,1,Customer,589,23.0
2019,2,7,1,Subscriber,32057,11.0
2019,2,7,2,Customer,221,26.0
2019,2,7,2,Subscriber,8979,13.0
2019,2,8,1,Customer,740,24.0
2019,2,8,1,Subscriber,27139,12.0
2019,2,8,2,Customer,221,115.0
2019,2,8,2,Subscriber,7157,13.0
2019,2,9,1,Customer,670,31.0
2019,2,9,1,Subscriber,16531,11.0
2019,2,9,2,Customer,244,41.0
2019,2,9,2,Subscriber,5322,11.0
2019,2,10,1,Customer,645,33.0
2019,2,10,1,Subscriber,16560,13.0
2019,2,10,2,Customer,235,28.0
2019,2,10,2,Subscriber,5488,13.0
2019,2,11,1,Customer,445,19.0
2019,2,11,1,Subscriber,28918,12.0
2019,2,11,2,Customer,168,25.0
2019,2,11,2,Subscriber,8002,13.0
2019,2,12,1,Customer,176,26.0
2019,2,12,1,Subscriber,12312,11.0
2019,2,12,2,Customer,31,17.0
2019,2,12,2,Subscriber,2993,12.0
2019,2,13,1,Customer,437,45.0
